# cm_fast_calibrate regression expected values
# Generated by: python3 scripts/gen_expected_tsv.py
# Columns: cm_basename  mode  lambda  mu_extrap  mu_orig
AaHKsRNA22.cm	ECMLC	0.594810351521386	-7.85714108866919	1.56226418647491
AaHKsRNA22.cm	ECMLI	0.536072391469241	-7.27688850053268	3.76843735528333
AaHKsRNA22.cm	ECMGC	0.398013593335499	-13.9657606163064	-2.32172532145131
AaHKsRNA22.cm	ECMGI	0.435617401820779	-7.84311619799161	2.23779349359567
5_8S_rRNA.cm	ECMLC	0.64083150969193	-9.66474029964484	-0.202670977200797
5_8S_rRNA.cm	ECMLI	0.531708616368089	-9.76652056387736	1.47650006628289
5_8S_rRNA.cm	ECMGC	0.360881131473322	-24.0848897950344	-13.5825839405119
5_8S_rRNA.cm	ECMGI	0.400418713042922	-14.9110994985398	-5.39898814867321
7SK.cm	ECMLC	0.716317848734161	-9.0273630193836	-1.36754129391039
7SK.cm	ECMLI	0.684461620515657	-8.86976488620711	-0.863072527692597
7SK.cm	ECMGC	0.265729432534864	-53.9098624079729	-44.0778003586647
7SK.cm	ECMGI	0.300396238416024	-34.259770763116	-25.6049920012271
2dG-I.cm	ECMLC	0.655597603440992	-5.52623531601355	3.35675465173736
2dG-I.cm	ECMLI	0.633639714213952	-4.4315247754962	4.40099697804005
2dG-I.cm	ECMGC	0.420738906486817	-16.0473676436869	-2.40720023951455
2dG-I.cm	ECMGI	0.454818010569645	-11.6894212454128	0.0961470885312123
2dG-II.cm	ECMLC	0.705007686213636	-4.86549953211558	3.35110180603713
2dG-II.cm	ECMLI	0.669217116626439	-3.48127721413848	4.39384456369929
2dG-II.cm	ECMGC	0.385719081751568	-18.2818065403846	-4.73700275885389
2dG-II.cm	ECMGI	0.423344561128913	-14.3621496689392	-2.41956499905138
30_292.cm	ECMLC	0.610368200498878	-8.87746896677587	0.881948481102643
30_292.cm	ECMLI	0.544792208236975	-7.10363897009903	3.04181823734574
30_292.cm	ECMGC	0.372828536493864	-16.109964353756	-5.69378210528576
30_292.cm	ECMGI	0.407919693119112	-9.82559543298533	-0.205725810690473
AAC_AAD_leader.cm	ECMLC	0.619372418112871	-6.65575624075952	2.38588654288946
AAC_AAD_leader.cm	ECMLI	0.591172849314173	-5.66908991791789	3.61293689220383
AAC_AAD_leader.cm	ECMGC	0.413572487635315	-14.8646310867654	-2.14202220815726
AAC_AAD_leader.cm	ECMGI	0.451215025356338	-10.4782650123564	0.714275998477106
AHBV_epsilon.cm	ECMLC	0.617159396510468	-6.02079050022876	3.45309876814242
AHBV_epsilon.cm	ECMLI	0.609134909864504	-4.71704646956784	4.75506380999388
AHBV_epsilon.cm	ECMGC	0.440722966578486	-14.8169172383158	-1.25124435532715
AHBV_epsilon.cm	ECMGI	0.469600161856624	-10.045668805375	1.70840416237772
5_ureB_sRNA.cm	ECMLC	0.711817210901284	-9.111930414275	-0.611178492601461
5_ureB_sRNA.cm	ECMLI	0.659769947575343	-8.12300063047098	0.573855643559789
5_ureB_sRNA.cm	ECMGC	0.295782745955073	-46.7483510216226	-36.167676414833
5_ureB_sRNA.cm	ECMGI	0.331139492417426	-28.0361064016832	-18.8177924844787
6C.cm	ECMLC	0.677287871738271	-5.04802599502831	3.22255088861241
6C.cm	ECMLI	0.653613447049528	-3.61653158858088	4.10385057797091
6C.cm	ECMGC	0.415517844783812	-16.198228526039	-3.31762765743092
6C.cm	ECMGI	0.454690076851913	-12.070129677668	-0.895195715684744
23S-methyl.cm	ECMLC	0.583766862147799	-7.84237449153855	1.82001981397189
23S-methyl.cm	ECMLI	0.536534443104171	-6.19767603913403	4.39783563359271
23S-methyl.cm	ECMGC	0.407971052140835	-12.308353769185	-1.05028126766377
23S-methyl.cm	ECMGI	0.443504681063966	-6.71974345066034	3.18146148155995
